dataset,project,model,n_instances,n_features,minority_class_percentage,repeat,fold,precision,recall,f1_score,g_mean,accuracy,auc,mcc,PD,PF
BugHunter,full_mcMMO_file,GaussianNB,760,6,0.41973684210526313,2,1,0.5714285714285714,0.25,0.34782608695652173,0.4646601886422926,0.6052631578947368,0.6120383522727273,0.1447300768338894,0.25,0.13636363636363635
BugHunter,full_mcMMO_file,DecisionTree,760,6,0.41973684210526313,2,1,0.28378378378378377,0.328125,0.30434782608695654,0.36125373543208705,0.3684210526315789,0.31063565340909094,-0.27080258876909225,0.328125,0.6022727272727273
BugHunter,full_mcMMO_file,RandomForest,760,6,0.41973684210526313,2,1,0.2361111111111111,0.265625,0.25,0.3156095293238149,0.32894736842105265,0.32120028409090906,-0.3553595108400005,0.265625,0.625
BugHunter,full_mcMMO_file,KNN,760,6,0.41973684210526313,2,1,0.3269230769230769,0.265625,0.29310344827586204,0.39997336559053304,0.4605263157894737,0.42711292613636365,-0.1374801320674617,0.265625,0.3977272727272727
BugHunter,full_mcMMO_file,Dummy,760,6,0.41973684210526313,2,2,0.4406779661016949,0.40625,0.42276422764227645,0.5038911092686593,0.5328947368421053,0.515625,0.03166021535581985,0.40625,0.375
BugHunter,full_mcMMO_file,LogisticRegression,760,6,0.41973684210526313,2,2,0.5,0.40625,0.4482758620689655,0.5349968139242428,0.5789473684210527,0.5411044034090908,0.1153059172178711,0.40625,0.29545454545454547
BugHunter,full_mcMMO_file,GaussianNB,760,6,0.41973684210526313,2,2,0.4857142857142857,0.265625,0.3434343434343434,0.4596657629586563,0.5723684210526315,0.5279651988636364,0.07163086018595709,0.265625,0.20454545454545456
BugHunter,full_mcMMO_file,DecisionTree,760,6,0.41973684210526313,2,2,0.3764705882352941,0.5,0.42953020134228187,0.44594129250792236,0.4407894736842105,0.4507279829545454,-0.10170546649790223,0.5,0.6022727272727273
BugHunter,full_mcMMO_file,RandomForest,760,6,0.41973684210526313,2,2,0.2727272727272727,0.234375,0.25210084033613445,0.35754847096709713,0.4144736842105263,0.4148615056818182,-0.22621591217165912,0.234375,0.45454545454545453
BugHunter,full_mcMMO_file,KNN,760,6,0.41973684210526313,2,2,0.3673469387755102,0.28125,0.3185840707964602,0.42681763723462207,0.4934210526315789,0.44762073863636365,-0.07502603855385137,0.28125,0.3522727272727273
BugHunter,full_mcMMO_file,Dummy,760,6,0.41973684210526313,2,3,0.4067796610169492,0.375,0.3902439024390244,0.47523917423469286,0.506578947368421,0.48863636363636365,-0.02302561116786898,0.375,0.3977272727272727
BugHunter,full_mcMMO_file,LogisticRegression,760,6,0.41973684210526313,2,3,0.4230769230769231,0.34375,0.3793103448275862,0.4759858191164943,0.5263157894736842,0.48002485795454547,0.002956561979945413,0.34375,0.3409090909090909
BugHunter,full_mcMMO_file,GaussianNB,760,6,0.41973684210526313,2,3,0.43243243243243246,0.25,0.31683168316831684,0.43628076864664694,0.5460526315789473,0.4931640625,0.013073710645885691,0.25,0.23863636363636365
BugHunter,full_mcMMO_file,DecisionTree,760,6,0.41973684210526313,2,3,0.28,0.328125,0.302158273381295,0.3560555689521204,0.3618421052631579,0.3127663352272727,-0.28195430311254976,0.328125,0.6136363636363636
BugHunter,full_mcMMO_file,RandomForest,760,6,0.41973684210526313,2,3,0.17647058823529413,0.140625,0.1565217391304348,0.27112455205545793,0.3618421052631579,0.32421874999999994,-0.35201505272088457,0.140625,0.4772727272727273
BugHunter,full_mcMMO_file,KNN,760,6,0.41973684210526313,2,3,0.28205128205128205,0.171875,0.21359223300970873,0.3423265984407288,0.46710526315789475,0.4073153409090909,-0.16539575671116,0.171875,0.3181818181818182
BugHunter,full_mcMMO_file,Dummy,760,6,0.41973684210526313,2,4,0.3898305084745763,0.359375,0.37398373983739835,0.46082312718162766,0.4934210526315789,0.4751420454545454,-0.050368524429713395,0.359375,0.4090909090909091
BugHunter,full_mcMMO_file,LogisticRegression,760,6,0.41973684210526313,2,4,0.47540983606557374,0.453125,0.464,0.5369844250323027,0.5592105263157895,0.5285866477272727,0.09013917932653821,0.453125,0.36363636363636365
BugHunter,full_mcMMO_file,GaussianNB,760,6,0.41973684210526313,2,4,0.4642857142857143,0.203125,0.2826086956521739,0.41048924523615166,0.5657894736842105,0.5225497159090909,0.0416098970897432,0.203125,0.17045454545454544
BugHunter,full_mcMMO_file,DecisionTree,760,6,0.41973684210526313,2,4,0.34782608695652173,0.375,0.3609022556390977,0.428063822769031,0.4407894736842105,0.41930042613636365,-0.1352279005068103,0.375,0.5113636363636364
BugHunter,full_mcMMO_file,RandomForest,760,6,0.41973684210526313,2,4,0.3088235294117647,0.328125,0.3181818181818182,0.3909941437599104,0.40789473684210525,0.40030184659090906,-0.20451848490961014,0.328125,0.5340909090909091
BugHunter,full_mcMMO_file,KNN,760,6,0.41973684210526313,2,4,0.39215686274509803,0.3125,0.34782608695652173,0.44990529306429894,0.506578947368421,0.47123579545454547,-0.0415882762708218,0.3125,0.3522727272727273
BugHunter,full_mcMMO_file,Dummy,760,6,0.41973684210526313,2,5,0.4406779661016949,0.4126984126984127,0.4262295081967213,0.5095835610994741,0.5394736842105263,0.52095594792224,0.04236772105934539,0.4126984126984127,0.3707865168539326
BugHunter,full_mcMMO_file,LogisticRegression,760,6,0.41973684210526313,2,5,0.48936170212765956,0.36507936507936506,0.41818181818181815,0.5163632413021628,0.5789473684210527,0.5090065988942394,0.10170561387574607,0.36507936507936506,0.2696629213483146
BugHunter,full_mcMMO_file,GaussianNB,760,6,0.41973684210526313,2,5,0.5,0.2698412698412698,0.35051546391752575,0.4672243094887156,0.5855263157894737,0.5396825396825397,0.0931915487057495,0.2698412698412698,0.19101123595505617
BugHunter,full_mcMMO_file,DecisionTree,760,6,0.41973684210526313,2,5,0.3561643835616438,0.4126984126984127,0.38235294117647056,0.44131230926308423,0.4473684210526316,0.4278580345996076,-0.11377950156402102,0.4126984126984127,0.5280898876404494
BugHunter,full_mcMMO_file,RandomForest,760,6,0.41973684210526313,2,5,0.2786885245901639,0.2698412698412698,0.27419354838709675,0.36937324904594054,0.40789473684210525,0.3594613875512752,-0.225670524556025,0.2698412698412698,0.4943820224719101
BugHunter,full_mcMMO_file,KNN,760,6,0.41973684210526313,2,5,0.3333333333333333,0.23809523809523808,0.2777777777777778,0.39728883229381434,0.4868421052631579,0.4101123595505618,-0.10681433950598057,0.23809523809523808,0.33707865168539325
BugHunter,full_mcMMO_file,Dummy,760,6,0.41973684210526313,3,1,0.4406779661016949,0.40625,0.42276422764227645,0.5038911092686593,0.5328947368421053,0.515625,0.03166021535581985,0.40625,0.375
