dataset,project,model,n_runs,mean_auc,std_auc,mean_mcc,std_mcc,mean_f1_score,std_f1_score,mean_g_mean,std_g_mean,mean_accuracy,std_accuracy,rank_by_auc,rank_by_mcc
NASA,CM1,KNN,15,0.7031432748538011,0.08219559956779042,0.019964629446743497,0.10576064656215184,0.08904761904761904,0.10386832884767776,0.1724235019111574,0.19451139667225956,0.8390675990675991,0.02269720596284491,4.0,4.0
NASA,CM1,LogisticRegression,15,0.7494476933073424,0.06370605708334454,0.23303066677782375,0.09321341274058369,0.34617510538866747,0.06457631388241596,0.6515431723380876,0.06971622751975107,0.7127583527583528,0.05233476359157672,1.0,1.0
NASA,CM1,RandomForest,15,0.7264944769330735,0.08847943274887073,0.017025307614477726,0.07956813856120794,0.05448107448107448,0.08062275777631055,0.10987879148969941,0.16097014293567755,0.8553690753690755,0.021386116894554146,2.0,5.0
NASA,KC3,DecisionTree,15,0.6076516897081413,0.1159978547113588,0.1966218135749908,0.21058134757331232,0.3458430240783182,0.17049048063919248,0.5250930899218241,0.1979600447054331,0.74251012145749,0.07718509520320513,5.0,3.0
NASA,KC3,Dummy,15,0.5754512288786483,0.08541766227043351,0.16240800822177537,0.18239949824992607,0.30256410256410254,0.15186358049705462,0.4687861882353531,0.16866981833198225,0.7629779577147998,0.05013238173926376,6.0,5.0
NASA,KC3,GaussianNB,15,0.6906826036866359,0.06588613443644853,0.2535224423080503,0.13995239869757936,0.3632912185853362,0.1338979475472629,0.5400302190992845,0.13752073852334243,0.7817813765182186,0.04448311889065192,4.0,2.0
NASA,KC3,KNN,15,0.7130232334869432,0.09544383153456727,0.16636448068634166,0.23501434623045034,0.20383838383838385,0.18501752653579745,0.29291793569712915,0.23005031006009166,0.8055780476833108,0.049886171793296887,3.0,4.0
NASA,KC3,LogisticRegression,15,0.7514112903225807,0.10900709815486928,0.35432645126851253,0.20704135275937333,0.4823991501337039,0.15854742988654158,0.6852909121851831,0.13656213487250027,0.7541610436347278,0.08804372192087974,1.0,1.0
NASA,KC3,RandomForest,15,0.73963133640553,0.10295867696338314,0.1499047402004078,0.174739769647305,0.20080808080808082,0.15281212569896627,0.3131763565855419,0.21160590419030956,0.8004948268106163,0.04071226015216531,2.0,6.0
NASA,MC2,DecisionTree,15,0.573582175925926,0.10860472611369536,0.14649157181328298,0.2216625336050232,0.44666781332416006,0.12563969323962237,0.5502082012883628,0.11159294854295412,0.6072222222222223,0.11266551610194897,5.0,5.0
NASA,MC2,Dummy,15,0.4479166666666667,0.09374081377686296,-0.11663271562278178,0.20957597662671448,0.2076190476190476,0.14368016888111323,0.327245309179346,0.1686072977745055,0.5271111111111112,0.0865004511105465,6.0,6.0
NASA,MC2,GaussianNB,15,0.6589409722222223,0.07153904897036914,0.34239369019103266,0.14611197752962654,0.45454156954156955,0.10954344215632784,0.5533397153738071,0.08913090149007494,0.7152222222222222,0.05273799670348027,4.0,1.0
NASA,MC2,KNN,15,0.677488425925926,0.07723019915230492,0.282402459264774,0.18546565158837566,0.4355000555000555,0.12787307958717184,0.5408120719557784,0.10236095414551945,0.6906666666666667,0.070474018628054,2.0,4.0
NASA,MC2,LogisticRegression,15,0.7270833333333333,0.11091320032203926,0.28644330979742794,0.14393307780303508,0.5537445864137209,0.09595376488003772,0.6322202677754217,0.07879823828133461,0.6504444444444444,0.07280782125554121,1.0,3.0
NASA,MC2,RandomForest,15,0.674074074074074,0.07239579368250344,0.31865894180290744,0.15804646294482708,0.4743316813905049,0.1156370845213322,0.5735594585739979,0.08991514561760418,0.7070000000000001,0.057749458871923655,3.0,2.0
NASA,MW1,DecisionTree,15,0.5956833064949006,0.10484650111140191,0.18054803854182314,0.20448390068245964,0.27213932037461447,0.17727765075086635,0.4526118995186623,0.24950194079086904,0.8293333333333333,0.058475572176168195,5.0,5.0
NASA,MW1,Dummy,15,0.4919806763285024,0.06718885863830229,-0.01771346893014958,0.12780879716216945,0.09393939393939395,0.1141331133888063,0.20171075012458708,0.22899408035191812,0.8005228758169934,0.02655052425373804,6.0,6.0
NASA,MW1,GaussianNB,15,0.7322984433709071,0.11945941902037248,0.3052359205139864,0.12293540745741104,0.37936988936988936,0.10746366580272715,0.6704868778612556,0.1187103044579273,0.812235294117647,0.03757088465351192,1.0,2.0
NASA,MW1,KNN,15,0.6943918411164788,0.12335200625868853,0.2610871778453387,0.2229545169082773,0.2697883597883598,0.1871065480795826,0.3763445205947689,0.2456401824959839,0.8896732026143791,0.028027035675706444,2.0,3.0
NASA,MW1,LogisticRegression,15,0.689059581320451,0.13095506401245902,0.24304524987750517,0.14414396074900046,0.327241296714981,0.10968848121154727,0.6500463835026113,0.13110227900731267,0.7531241830065359,0.05760433384362011,3.0,4.0
NASA,MW1,RandomForest,15,0.676614063338701,0.10814436045577798,0.3290625128748353,0.2521099291767661,0.34960520960520963,0.22235412221091921,0.4793862948491215,0.24041039421876775,0.8909281045751634,0.03756903289976903,4.0,1.0
NASA,PC1,DecisionTree,15,0.6338166463166464,0.07743551249043555,0.23134169065966076,0.13386013422568496,0.30295200460698357,0.12158681154252056,0.5593321876820229,0.1415355282460298,0.8533138706426163,0.027216382369312522,5.0,3.0
NASA,PC1,Dummy,15,0.49901302401302405,0.033181989225731394,-0.0018752402489885355,0.07249550202368152,0.07773386034255599,0.06663779542657285,0.20634142448219428,0.15751589696400375,0.8519028255656345,0.010222911839671996,6.0,6.0
NASA,PC1,GaussianNB,15,0.7107448107448107,0.0756294624833869,0.2439167157012227,0.0915724351643203,0.301229918371032,0.08638573705041012,0.5198448952750098,0.10746149247190605,0.8789490147012825,0.027588846229823622,4.0,2.0
NASA,PC1,KNN,15,0.7802079093745761,0.05612256369477378,0.195565889520566,0.15120459247937543,0.22329827837567776,0.1420755412619633,0.36532091632468755,0.17926035997274456,0.9025475271956348,0.013683823690560572,3.0,5.0
NASA,PC1,LogisticRegression,15,0.8567443359110026,0.03837939485550661,0.35110572282909364,0.07728032763890051,0.38459756157972597,0.06546919071016175,0.7652921771788833,0.05081009774299836,0.7833941542418239,0.04587694948100288,2.0,1.0
NASA,PC1,RandomForest,15,0.8581247456247456,0.047141931132039475,0.23015304074218337,0.14601506467573086,0.23751142562288072,0.13089248122337452,0.3762727348076484,0.17731761243290056,0.906419212456122,0.014057513342518799,1.0,4.0
NASA,PC2,DecisionTree,15,0.5608486220712771,0.0931923467120656,0.11763864936100571,0.20159160459184736,0.12767676767676767,0.18509623120439095,0.23635779843385646,0.30141972928207267,0.9584323116219668,0.014622788552275764,5.0,2.0
NASA,PC2,Dummy,15,0.4964588952152632,1.0339609819335915e-05,-0.012548387006571269,0.000770602361926969,0.0,0.0,0.0,0.0,0.970919540229885,0.002797009843713861,6.0,6.0
NASA,PC2,GaussianNB,15,0.7343055971764393,0.16803412142403082,-0.0022307890206482725,0.07055817260835763,0.031268240841142166,0.05719810518528042,0.16852803636287306,0.2512351183638135,0.8482343550446998,0.1880503699723206,3.0,5.0
NASA,PC2,KNN,15,0.5690249059368029,0.073874192410101,0.0,0.0,0.0,0.0,0.0,0.0,0.9778448275862068,0.0028114174869723883,4.0,3.0
